Date,AM_PM,Species,Bucket,Temperature,Fish_ID_Julia,Fish_ID_Sandi,Activity_1_Julia,Activity_2_Julia,Activity_3_Sandi,Activity_4_Sandi,Aggression_1_Julia,Aggression_2_Julia,Aggression_3_Sandi,Aggression_4_Sandi,Notes_Julia,Notes_Sandi,
20150623,AM,Black,1,,1,1,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,1,,2,2,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,2,,1,1,4,4,4,4,1,1,1,1,Chased fish 2 once,"Fish 1 nipped at Fish 2 at 35s, Fish 2 not visible for the rest of the video ",
20150623,AM,Black,2,,2,2,3,3,3,4,0,0,0,0,Hid behind rock after being chased by fish 1,"Fish 2 nipped by Fish 1, hides for the rest of the video. Swimming 35s/63s",
20150623,AM,Black,2,,,,0,0,0,0,,,,,,,
20150623,AM,Black,3,,1,1,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,3,,2,2,3,4,4,4,0,0,0,0,,,
20150623,AM,Black,4,,1,1,3,4,3,4,0,0,0,0,,,
20150623,AM,Black,4,,2,2,3,3,4,3,0,0,0,0,48s Swimming/ 60s Visible (80%),Fish not visible for first 10s,
20150623,AM,Black,5,,1,1,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,5,,2,2,2,3,4,4,0,0,0,0,17s Swimming/ 30s Visible (57%),Fish only visible for 8s; swimming for that time,
20150623,AM,Black,5,,3,3,1,2,0,0,0,0,0,0,11s Swimming/ 47s Visible (23%),,
20150623,AM,Black,6,,1,1,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,6,,2,2,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,6,,3,3,3,4,4,4,0,0,0,0,,,
20150623,AM,Black,7,,1,1,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,7,,2,2,2,2,2,2,0,0,0,0,11s Swimming/ 21s Visible (53%),,
20150623,AM,Black,7,,,,0,0,0,0,,,,,,,
20150623,AM,Black,8,,1,1,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,8,,2,2,1,1,1,1,0,0,0,0,,"Fish 1 was very active, while fish 2 did not move during the video",
20150623,AM,Black,8,,,,0,0,0,0,,,,,,,
20150623,AM,Black,9,,1,1,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,9,,2,2,2,2,2,2,0,0,0,0,"Wiggles in area btwn rocks but doesn't leave, 10s Swimming",17s swimming/60s total,
20150623,AM,Black,10,,1,1,1,2,1,1,0,0,0,0,,no swimming from either visible fish,
20150623,AM,Black,10,,2,2,1,1,1,1,0,0,0,0,,,
20150623,AM,Black,10,,3,3,0,0,0,0,,,0,0,Not Visible in Video,not visible,
20150623,AM,Black,12,,1,1,3,2,2,3,0,0,0,0,26s Swimming/ 60s Visible (43%),23s swimming/60s total,
20150623,AM,Black,12,,,,0,0,0,0,,,,,,,
20150623,AM,Black,12,,,,0,0,0,0,,,,,,,
20150623,AM,Black,13,,1,1,4,4,4,3,0,0,0,0,,,
20150623,AM,Black,13,,2,2,3,4,4,4,0,0,0,0,51s Swimming/ 51s Visible,hiding for 17 seconds,
20150623,AM,Black,14,,1,1,2,2,3,3,0,0,0,0,,,
20150623,AM,Black,14,,,,0,0,0,0,,,,,,,
20150623,AM,Black,15,,1,1,1,1,1,1,0,0,0,0,,,
20150623,AM,Black,15,,2,2,0,0,0,0,,,0,0,Not Visible in Video,not visible,
20150623,AM,Black,16,,1,1,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,16,,2,2,4,4,4,4,0,0,0,0,,,
20150623,AM,Black,16,,3,3,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,1,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,1,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,2,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,2,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,2,,3,3,4,4,4,3,0,0,0,0,33s Swimming/ 33s Visible,swimming 28s/28s visible,
20150624,PM,Black,3,,1,1,3,3,3,3,0,0,0,0,,,
20150624,PM,Black,3,,2,2,2,2,3,3,0,0,0,0,25s Swimming/ 61s Visible (41%),,
20150624,PM,Black,4,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,4,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,5,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,5,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,5,,3,3,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,6,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,6,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,6,,3,3,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,7,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,7,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,7,,3,3,3,2,3,3,0,0,0,0,27s Swimming/ 61s Visible (44%),,changed 4 to 3
20150624,PM,Black,8,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,8,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,8,,3,3,2,2,2,2,0,0,0,0,21s Swimming/ 61s Visible (34%),,
20150624,PM,Black,9,,1,1,4,4,3,4,0,0,0,0,,,
20150624,PM,Black,9,,2,2,3,3,4,3,0,0,0,0,35s Swimming/ 61s Visible (57%),,
20150624,PM,Black,10,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,10,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,10,,3,3,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,11,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,11,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,11,,3,3,3,4,3,4,0,0,0,0,,,
20150624,PM,Black,12,,1,1,1,1,1,1,0,0,0,0,21s Swimming/ 61s Visible (34%),,
20150624,PM,Black,12,,2,2,2,2,2,2,0,0,0,0,,swam 21s/61s,
20150624,PM,Black,12,,3,3,2,2,2,2,0,0,0,0,4s Swimming/ 61s Visible (7%),,
20150624,PM,Black,13,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,13,,2,2,1,1,1,1,0,0,0,0,,,
20150624,PM,Black,14,,1,1,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,14,,2,2,2,2,2,1,0,0,0,0,,,
20150624,PM,Black,15,,1,1,0,0,0,0,0,0,0,0,,,
20150624,PM,Black,15,,2,2,0,0,0,0,0,0,0,0,9s Visible; Pokes head out from hiding,not visible,
20150624,PM,Black,16,,1,1,2,3,4,4,0,0,0,0,48s Swimming/ 61s Visible (79%),,
20150624,PM,Black,16,,2,2,4,4,4,4,0,0,0,0,,,
20150624,PM,Black,16,,3,3,3,4,3,3,0,0,0,0,,,
20150625,AM,Black,1,,1,1,4,4,4,4,0,0,0,0,,Fish 1 is on left side of the bucket,
20150625,AM,Black,1,,2,2,4,4,4,4,0,0,0,0,,Fish 2 is on the right side of the bucket,
20150625,AM,Black,2,,1,1,4,4,4,4,0,0,0,0,,"Fish 1 is the largest fish, starts on the right hand side of the bucket",
20150625,AM,Black,2,,2,2,4,4,4,4,0,0,0,0,,Fish 2 is the fish in the middle,
20150625,AM,Black,2,,3,3,4,4,4,4,0,0,0,0,,Fish 3 is the fish on the left hand side,
20150625,AM,Black,3,,1,1,2,2,3,2,0,0,0,0,,Fish 1 is under the rock in the center,
20150625,AM,Black,3,,2,2,3,3,3,2,0,0,0,0,,Fish 2 is in the black mesh ,
20150625,AM,Black,4,,1,1,4,4,4,4,0,0,0,0,,Fish 1 starts in the middle of the bucket,
20150625,AM,Black,4,,2,2,3,3,3,3,0,0,0,0,,Fish 2 is hiding with the rocks and swims out half way through the video,
20150625,AM,Black,5,,1,1,4,4,4,4,0,0,0,0,,Fish 1 starts in the middle of the bucket,
20150625,AM,Black,5,,2,2,4,4,4,4,0,0,0,0,,Fish 2 starts above fish 1 and moves to the right side,
20150625,AM,Black,5,,3,3,4,4,4,4,0,0,0,0,,Fish 3 starts on the left of the bucket and swims to the top,
20150625,AM,Black,6,,1,1,4,4,4,4,0,0,0,0,,Fish 1 is the more visible one at the beginning of the video,
20150625,AM,Black,6,,2,2,4,4,4,4,0,0,0,0,"Hidden under rock 38s, 24s Swimming/ 24s Visible",Fish 2 comes out from under the rock,
20150625,AM,Black,6,,,,0,0,0,0,,,,,,,
20150625,AM,Black,7,,1,1,4,4,4,3,0,0,0,0,,Fish 1 starts in between the 3 rocks and is most visible,
20150625,AM,Black,7,,2,2,4,4,4,3,0,0,0,0,,"Fish 2 is the middle fish, located between the left 2 rocks",
20150625,AM,Black,7,,3,3,4,4,4,4,0,0,0,0,,Fish 3 starts on the left  ,
20150625,AM,Black,8,,1,1,4,4,4,4,0,0,0,0,,Fish 1 starts on left side; is biggest fish,
20150625,AM,Black,8,,2,2,4,4,4,4,0,0,0,0,,Fish 2 starts in the middle,
20150625,AM,Black,8,,3,3,3,3,4,3,0,0,0,0,52s Swimming/ 61s Visible (85%),Fish 3 starts on right,
20150625,AM,Black,9,,1,1,4,4,3,3,0,0,0,0,,Fish 1 starts on left between rock and black mesh,
20150625,AM,Black,9,,2,2,3,4,4,3,0,0,1,0,,"Fish 2 starts under rock on right side, comes out at 20s. Fish 2 appears to chase fish 1",
20150625,AM,Black,10,,1,1,2,2,2,2,0,0,0,0,16s Swimming/ 60s Visible (27%),Fish 1 has head hidden under rock in center,
20150625,AM,Black,10,,2,2,4,4,4,4,0,0,0,0,,Fish 2 starts left of fish 3,
20150625,AM,Black,10,,3,3,4,4,4,4,0,0,0,0,,Fish 3 is largest fish,
20150625,AM,Black,11,,1,1,4,4,4,4,0,0,0,0,,Fish 1 is at bottom,
20150625,AM,Black,11,,2,2,4,4,4,4,0,0,0,0,,Fish 2 middle,
20150625,AM,Black,11,,3,3,4,4,4,4,0,0,0,0,,Fish 3 top (farthest away from 'me'),
20150625,AM,Black,12,,1,1,4,4,4,4,0,0,0,0,,Fish 1 starts in bottom left 'corner',
20150625,AM,Black,12,,2,2,2,2,2,2,0,0,0,0,Only moved when 3 swam by; 4s Swimming/ 61s Visible (7%),Fish 2 under rock- smaller fish,
20150625,AM,Black,12,,3,3,2,2,1,1,0,0,0,0,Swam into 2 to go to new hiding;15s Swimming/ 61s Visible (25%),Fish 3 under rock- larger fish,
20150625,AM,Black,13,,1,1,4,4,4,4,0,0,0,0,,Fish 1 on left,
20150625,AM,Black,13,,2,2,4,4,4,4,0,0,0,0,,Fish 2 on right,
20150625,AM,Black,14,,1,1,2,3,2,2,0,0,0,0,31s Swimming/ 61s Visible (51%),Fish starts at back of the bucket by the black mesh,
20150625,AM,Black,14,,,,0,0,0,0,,,,,,,
20150625,AM,Black,15,,1,1,2,2,2,2,0,0,0,0,"Swims around rock, never fully visible",Fish in back of bucket under rock,
20150625,AM,Black,15,,,,0,0,0,0,,,,,,,
20150625,AM,Black,16,,1,1,4,4,3,4,0,0,0,0,,Fish 1 starts in between the two rocks,
20150625,AM,Black,16,,2,2,4,4,4,4,0,0,0,0,,Fish 2 starts on the right,
20150625,AM,Black,16,,3,3,4,4,4,3,0,0,0,0,,Fish 3 starts between fish 1 and 2,
20150625,PM,Black,1,,1,1,4,4,4,4,0,0,0,0,,Fish 1 is in center of bucket,
20150625,PM,Black,1,,2,2,4,4,4,4,0,0,0,0,,Fish 2 is on top of the bucket,
20150625,PM,Black,2,,1,1,4,4,4,4,0,0,0,0,,Fish 1 is on the right,
20150625,PM,Black,2,,2,2,4,4,4,4,0,0,0,0,,Fish 2 in the middle,
20150625,PM,Black,2,,3,3,4,4,4,4,0,0,0,0,,Fish 3 on the left,
20150625,PM,Black,3,,1,1,4,4,4,4,0,0,0,0,,Fish 1 on right,
20150625,PM,Black,3,,2,2,4,4,4,4,0,0,0,0,,Fish 2 on left,
20150625,PM,Black,3,,3,3,0,0,0,0,0,0,0,,,not visible,
20150625,PM,Black,4,,1,1,4,4,4,4,1,1,0,0,Swimming into fish 2’s hiding; 91s Swimming/ 104s Visible,fish 1 easily visible,
20150625,PM,Black,4,,2,2,2,2,2,2,0,0,0,0,Swims to new hiding; 13s Swimming/ 104s Visible,fish 2 hiding in rocks,
20150625,PM,Black,5,,1,1,4,4,4,4,0,0,0,0,73s Swimming/ 73s Visible,fish 1 starts on left side,
20150625,PM,Black,5,,2,2,4,4,4,4,0,0,0,0,73s Swimming/ 73s Visible,fish 2 starts in middle by black mesh,
20150625,PM,Black,5,,3,3,4,4,4,4,0,0,0,0,73s Swimming/ 73s Visible,fish 3 appears on right out of mesh,
20150625,PM,Black,6,,1,1,4,4,4,4,0,0,0,0,,fish 1 higher up,
20150625,PM,Black,6,,2,2,4,4,4,4,0,0,0,0,,fish 2 under fish 1,
20150625,PM,Black,6,,3,3,2,2,2,2,0,0,0,0,8s Swimming/ 10s Visible,fish 3 under large rock,
20150625,PM,Black,7,,1,1,4,4,4,4,0,0,0,0,,fish 1 over largest rock,
20150625,PM,Black,7,,2,2,4,4,4,4,0,0,0,0,,fish 2 left of fish 1,
20150625,PM,Black,7,,3,3,3,3,3,4,0,0,0,0,,fish 3 behind fish 1,
20150625,PM,Black,8,,1,1,4,4,4,4,0,0,0,0,,fish 1 on top of water column,
20150625,PM,Black,8,,2,2,4,4,4,4,0,0,0,0,,fish 2 lower in water column,
20150625,PM,Black,8,,3,3,2,2,2,2,0,0,0,0,4s Swimming/ 19s Visible (21%),fish 3 under large rock,
20150625,PM,Black,9,,1,1,4,4,4,4,0,0,0,0,,fish 1 on right,
20150625,PM,Black,9,,2,2,4,3,3,3,0,0,0,0,47s Swimming/ 47s Visible,fish 2 on left,
20150625,PM,Black,10,,1,1,3,4,4,3,1,1,0,0,69s Swimming/ 79s Visible (87%) ; Swims into fish 2,fish 1 starts in the middle,
20150625,PM,Black,10,,2,2,2,2,2,2,0,0,0,0,No reaction to being swam into by fish 1,fish 2 starts on the right,
20150625,PM,Black,10,,3,3,2,2,2,2,0,0,0,0,"While resting, fish convulses for 1.9s, then again for 1.5s",fish 3 starts on the left,
20150625,PM,Black,11,,1,1,4,4,4,4,0,0,0,0,,fish 1 starts on bottom left,
20150625,PM,Black,11,,2,2,4,4,4,4,0,0,0,0,,fish 2 starts in center,
20150625,PM,Black,11,,3,3,4,4,4,4,0,0,0,0,,fish 3 in upper left,
20150625,PM,Black,12,,1,1,4,4,4,4,0,0,0,0,,fish 1 on right,
20150625,PM,Black,12,,2,2,4,4,4,4,0,0,0,0,,fish 2 on left,
