Date,Fish_ID_on_photo,Species_Seq,Photo_Name,Species,Died_0_Lived_1,Individual_IDs,Length_mm,Weight_g,Number_of_Parasites,Starting_DO_ ppm,DO_30min_ppm,Respiration_Rate_ppm_per_min,Experimental_Treatment_C,Bucket,Notes,Length_Measurement_Notes
20150620,1,,DSC_0678,Black,,1,46.9,1.08,3,,,,8,1,,Possible Yellowtail
20150620,2,Yellowtail,DSC_0690,Black,,2,57.6,1.82,2,,,,8,1,,Possible Yellowtail
20150626,4,Yellowtail,DSC_0199 (3),Black,,2,56.2,1.83,2,,,,8,1,,"Possible Yellowtail, silvery, see DSC_0200 (3) for better tail color"
20150626,5,,DSC_0203 (3),Black,,1,43.3,1.04,6,,,,8,1,,"Possible Yellowtail, see DSC_202 (3) for better tail color"
20150630,4,Yellowtail,DSC_0341 (2),Black,,2,57.5,1.71,2,9.46,8.52,,8,1,,Possible Yellowtail
20150630,5,,DSC_0343 (2),Black,,1,49.3,1.2,6,9.9,9.37,,8,1,,Possible Yellowtail
20150703,15-027,,DSC_0489 (2),Black,,1,46.7,0.96,7,,,,8,1,,Possible Yellowtail
20150703,15-028,Yellowtail,DSC_0495 (2),Black,,2,59,1.71,2,,,,8,1,,Possible Yellowtail
20150704,1,Copper,DSC_0611 (2),Copper,1,3,24,0.18,0,,,,8,1,,
20150704,2,Quillback,DSC_0613 (2),Copper,1,2,29.4,0.28,2,,,,8,1,,
20150704,3,Copper,DSC_0617 (2),Copper,1,4,27.2,0.21,0,,,,8,1,,
20150704,4,Quillback,DSC_0620 (2),Copper,,1,26.1,0.18,0,,,,8,1,,
20150710,4,Copper,DSC_0010,Copper,1,3,24.1,0.14,0,,,,8,1,,
20150710,5,Quillback,DSC_0014 (2),Copper,1,2,28.8,0.25,2,,,,8,1,,
20150710,6,Copper,DSC_0019 (2),Copper,1,4,27.9,0.2,0,,,,8,1,,
20150710,7,Quillback,DSC_0021 (2),Copper,,1,26.1,0.17,1,,,,8,1,,
20150714,3,Quillback,DSC_0148 (2),Copper,1,2,28.1,0.3,2,9.75,9.52,,8,1,,"Labeled as ""3*"" in photo to differentiate from fish 4"
