"","Date","Species_Seq","Weight_g","Starting_DO_.ppm","DO_30min_ppm","Bucket","Res_Rate","Wei_Res_Rate","exp_temp"
"18",20150714,"Copper",0.22,9.81,9.68,1,0.00433333333333336,0.0196969696969698,10.51111
"19",20150714,"Copper",0.15,9.74,9.69,1,0.00166666666666669,0.0111111111111113,10.51111
"44",20150714,"Copper",0.24,9.87,9.61,2,0.00866666666666666,0.0361111111111111,10.58704
"64",20150714,"Copper",0.52,8.82,8.7,3,0.00400000000000003,0.00769230769230776,13.46111
"65",20150714,"Copper",0.44,8.93,8.75,3,0.00599999999999999,0.0136363636363636,13.46111
"66",20150714,"Copper",0.26,9.15,8.92,3,0.00766666666666668,0.0294871794871795,13.46111
"88",20150714,"Copper",0.29,8.77,8.77,4,0,0,13.71667
"90",20150714,"Copper",0.22,9.09,9.05,4,0.0013333333333333,0.00606060606060593,13.71667
"142",20150714,"Copper",0.17,8.61,8.45,6,0.00533333333333334,0.0313725490196079,17.15
"166",20150714,"Copper",0.43,8.39,8.19,7,0.0066666666666667,0.0155038759689923,17.97037
"168",20150714,"Copper",0.4,8.42,8.29,7,0.00433333333333336,0.0108333333333334,17.97037
"169",20150714,"Copper",0.32,8.37,8.19,7,0.00599999999999999,0.01875,17.97037
"195",20150714,"Copper",0.16,8.52,8.42,8,0.00333333333333332,0.0208333333333333,19.22222
"196",20150714,"Copper",0.61,8.35,7.9,8,0.015,0.0245901639344262,19.22222
"197",20150714,"Copper",0.38,8.36,8.12,8,0.00800000000000001,0.0210526315789474,19.22222
"217",20150714,"Copper",0.24,8.36,8.02,9,0.0113333333333333,0.0472222222222222,18.90926
"219",20150714,"Copper",0.67,8.04,7.64,9,0.0133333333333333,0.0199004975124378,18.90926
"244",20150714,"Copper",0.38,8.23,7.79,10,0.0146666666666667,0.0385964912280702,19.98889
"266",20150714,"Copper",0.25,8.34,8.21,11,0.0043333333333333,0.0173333333333332,19.91852
"268",20150714,"Copper",0.15,8.39,8.28,11,0.00366666666666671,0.0244444444444447,19.91852
"293",20150714,"Copper",0.65,7.92,7.62,12,0.00999999999999999,0.0153846153846154,21.03333
"294",20150714,"Copper",0.31,8.06,8.03,12,0.00100000000000004,0.00322580645161303,21.03333
"314",20150714,"Copper",0.18,7.89,7.73,13,0.00533333333333331,0.0296296296296295,21.40741
"315",20150714,"Copper",0.15,7.98,7.77,13,0.00700000000000003,0.0466666666666669,21.40741
"316",20150714,"Copper",0.34,7.99,7.67,13,0.0106666666666667,0.0313725490196079,21.40741
"334",20150714,"Copper",0.66,7.62,7.24,14,0.0126666666666667,0.0191919191919192,22.01296
"335",20150714,"Copper",0.24,7.91,7.73,14,0.00599999999999999,0.025,22.01296
"336",20150714,"Copper",0.5,7.68,7.17,14,0.017,0.034,22.01296
"358",20150714,"Copper",0.21,8.09,7.89,15,0.00666666666666667,0.0317460317460318,22.85417
"5",20150714,"Copper",31.8,0,0,4,0,0,13.71667
"9",20150714,"Copper",31.1,0,0,16,0,0,22.41667
"10",20150714,"Copper",37.7,0,0,16,0,0,22.41667
"11",20150714,"Copper",30.1,0,0,12,0,0,21.03333
"13",20150714,"Copper",26.3,0,0,15,0,0,22.85417
"15",20150714,"Copper",27.6,0,0,14,0,0,22.01296
"16",20150714,"Copper",27.2,0,0,13,0,0,21.40741
