"","Date","Species_Seq","Weight_g","Starting_DO_.ppm","DO_30min_ppm","Bucket","Res_Rate","Wei_Res_Rate","exp_temp"
"17",20150714,"Quillback",0.3,9.75,9.52,1,0.00766666666666668,0.0255555555555556,10.51111
"20",20150714,"Quillback",0.17,9.81,9.69,1,0.00400000000000003,0.0235294117647061,10.51111
"43",20150714,"Quillback",0.27,9.76,9.39,2,0.0123333333333333,0.0456790123456789,10.58704
"67",20150714,"Quillback",0.24,9.13,9.03,3,0.00333333333333338,0.0138888888888891,13.46111
"115",20150714,"Quillback",0.21,8.94,8.83,5,0.00366666666666665,0.0174603174603174,15.1
"116",20150714,"Quillback",0.51,8.86,8.74,5,0.00399999999999997,0.00784313725490191,15.1
"140",20150714,"Quillback",0.17,8.53,8.4,6,0.0043333333333333,0.0254901960784312,17.15
"141",20150714,"Quillback",0.13,8.65,8.45,6,0.0066666666666667,0.0512820512820516,17.15
"167",20150714,"Quillback",0.18,8.54,8.23,7,0.0103333333333333,0.0574074074074072,17.97037
"243",20150714,"Quillback",0.14,8.28,8.03,10,0.00833333333333333,0.0595238095238095,19.98889
"267",20150714,"Quillback",0.23,8.38,8.28,11,0.00333333333333338,0.0144927536231886,19.91852
"359",20150714,"Quillback",0.13,8.05,8.08,15,-0.000999999999999979,-0.00769230769230753,22.85417
"1",20150714,"Quillback",34.7,0,0,9,0,0,18.90926
"2",20150714,"Quillback",27.3,0,0,6,0,0,17.15
"3",20150714,"Quillback",27,0,0,5,0,0,15.1
"4",20150714,"Quillback",29.2,0,0,12,0,0,21.03333
"6",20150714,"Quillback",30,0,0,16,0,0,22.41667
"7",20150714,"Quillback",29.1,0,0,15,0,0,22.85417
"8",20150714,"Quillback",35.2,0,0,8,0,0,19.22222
"12",20150714,"Quillback",30.8,0,0,10,0,0,19.98889
"14",20150714,"Quillback",26.8,0,0,2,0,0,10.58704
"171",20150714,"Quillback",28.9,0,0,10,0,0,19.98889
